x1,x2,x3,x4,x5,x6,x7,x8
7.3,106302.0,25.641,3.5328753680078373,2.9,,,
7.2,106555.0,27.271,3.515625,3.1,,,
7.2,106989.0,28.238,3.70370370370372,3.0,1956.06175,1955.171032085424,4.12
7.3,106936.0,28.805,3.6857419980601547,3.3,,,
7.2,106932.0,27.623,3.771760154738879,3.2,,,
7.4,106505.0,27.143,3.760848601735778,3.4,1973.284,1971.7911377369267,4.35
7.4,106807.0,27.329,3.5542747358309423,2.8,,,
7.1,107095.0,27.755,3.349282296650724,2.8,,,
7.1,107657.0,28.289,3.142857142857136,2.9,2003.4185,1986.762545044572,4.25
7.1,107847.0,29.538,3.228869895536568,3.3,,,
7.0,108007.0,30.813,3.5137701804368593,3.1,,,
7.0,108216.0,27.228,3.7986704653371284,3.5,2018.30975,2018.1682763889846,3.85
6.7,108887.0,22.945,3.8862559241706007,2.9,,,
7.2,108480.0,15.442,3.113207547169816,2.8,,,
7.2,108837.0,12.618,2.2556390977443552,2.3,2037.15075,2032.3821039143675,3.59
7.1,108952.0,12.847,1.5902712815715425,2.4,,,
7.2,109089.0,15.444,1.491146318732528,2.7,,,
7.2,109576.0,13.469,1.7657992565055736,2.9,2046.32575,2055.7395623149027,3.41
7.0,109810.0,11.575,1.5769944341373021,2.8,,,
6.9,110015.0,15.092,1.5740740740740833,3.0,,,
7.0,110085.0,14.913,1.7543859649122862,2.9,2065.90975,2061.3148663938036,3.5
7.0,110273.0,14.852,1.4719411223550916,3.2,,,
6.9,110475.0,15.207,1.2844036697247763,2.8,,,
6.6,110728.0,16.076,1.097895699908502,3.0,2077.00525,2080.8730076327524,3.62
6.6,110953.0,18.656,1.4598540145985384,2.9,,,
6.6,111257.0,17.726,2.1043000914912957,3.1,,,
6.6,111408.0,18.305,3.0330882352941124,3.0,2092.4825,2092.206195793612,3.9
6.3,111794.0,18.643,3.7753222836095945,3.0,,,
6.3,112434.0,19.415,3.8567493112947604,3.4,,,
6.2,112246.0,20.034,3.65296803652968,3.3,2115.05825,2107.2341478715052,4.36
6.1,112634.0,21.355,3.926940639269394,3.1,,,
6.0,113057.0,20.274,4.284412032816776,3.2,,,
5.9,112909.0,19.526,4.355716878402904,3.0,2133.40875,2130.020085064407,4.5
6.0,113282.0,19.848,4.533091568449676,3.3,,,
5.8,113505.0,18.92,4.528985507246386,3.2,,,
5.7,113793.0,17.241,4.4343891402715,3.1,2170.0405,2145.0434340659513,4.37
5.7,114016.0,17.16,4.046762589928066,3.2,,,
5.7,114227.0,16.765,3.942652329749108,3.1,,,
